States,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Rhode Island,1.9,2.7,2.9,2.9,2.8,3,2.8,3.1,3.2,3.2,3.2,3,2.7,2.8,3,3,3.1,3.1,3.2,3.2,2.9
South Carolina,2,2.6,2.5,2.6,2.5,2.8,2.9,3.2,3.2,3.2,3.1,3,2.8,3,2.9,2.9,3.2,3.3,3.4,3.6,3.8
South Dakota,2.5,2.6,2.6,2.7,2.8,2.6,2.8,2.9,3,3.3,3.4,3.3,3.1,3.1,3.2,2.8,3.1,3,3.3,3.3,3.5
Tennessee,3.2,3.5,3.5,3.5,3.8,3.7,3.8,4.1,4.2,4.3,4.2,3.9,4.2,4.3,4.6,4.6,4.9,5,5.1,5.2,5.9
Texas,1.5,2.1,2.6,2.2,2.6,2.6,2.7,2.9,3,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.6,3.8,3.9,4,4
Utah,3.3,3.5,3.8,3.4,3.6,3.6,3.1,3.1,3.3,3.7,3.7,3.7,3.8,3.7,3.9,4.1,4.1,4,4.1,4.2,4.3
Vermont,2.1,2.8,3.1,2.9,3.1,3.1,3.5,3.5,3.5,3.6,3.8,3.5,3.6,3.6,3.8,3.6,3.9,4,4.2,4.3,4.1
Virginia,2.6,2.9,3.1,3,3.4,3.3,3.5,3.6,3.7,3.8,3.8,3.7,3.8,3.8,4,4,3.9,4,4.2,4.2,4.3
Washington,2.8,2.8,3.3,3.4,3.5,3.4,3.6,3.8,3.9,4.1,4.2,3.9,3.9,4,4.1,4.3,4.3,4.4,4.6,4.5,4.6
West Virginia,3.1,3.6,3.3,3.5,3.8,4,4.2,4.6,4.7,5.2,5.1,5.1,4.8,5.1,5,5.1,5,5.2,5.2,5.2,5.1
Wisconsin,2,2.3,2.5,2.4,2.6,2.6,2.7,2.8,2.9,2.9,3,2.9,3,2.9,3,2.9,3,3.1,3.2,3.2,3.2
Wyoming,3.8,3.8,3.8,4,4.2,4.1,4.6,4.3,4.4,4.8,5.1,5.1,4.9,4.9,5.1,5.2,5.2,5.4,5.4,5.8,5.8
