State,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Oregon,5.2,6,6.3,6.7,6.9,6.9,6.8,6.3,6.6,6.6,6.5,6.6,6.9,7.2,7.3,7.3,8.1,7.2,7.1,7.5,7.6
Pennsylvania,4.6,5.4,5.5,5.7,5.8,5.7,5.8,5.4,5.5,5.3,5.3,5.3,5.5,5.7,5.7,5.8,5.9,5.9,5.7,5.8,6
Rhode Island,4.5,6.1,6.3,6.8,6.7,6.4,6.7,6.2,6.1,6,5.8,5.9,6.1,6.4,6.6,7,7.7,7.8,7.8,8.1,7.6
South Carolina,5.7,6.3,6.6,7,6.6,7.5,7.6,7.1,7.4,7.2,7.4,7.3,7.3,7.9,7.8,8.3,8.2,9,9.3,9.9,10.6
South Dakota,6,6.1,6.5,6.7,7.2,7.2,7.1,7,7.5,7.5,7.3,7.3,7.7,7.8,8,8.4,8.4,8.4,8.8,8.9,9.4
Tennessee,7.3,7.5,8,8.2,8.6,8.5,8.4,8.4,8.8,9,8.8,8.4,9.4,10.1,10.6,10.9,11.4,11.9,13.1,13.5,15.5
Texas,5.3,4.9,6.1,7.1,7.1,7.2,6.9,7,7.3,7.1,7.1,7.1,7.3,7.4,7.6,7.8,8,8.1,8.4,9.1,9.4
Utah,8.4,8.1,8.4,8.7,9,8.1,7.3,7.5,8.4,8.6,8.5,8.4,9,9.6,9.2,9.8,9.9,10.2,10.4,10.2,10.8
Vermont,6,7.7,7.9,7.9,8.3,8.1,8.7,9.2,8.2,8.3,9.3,8.7,7.9,8.5,8.6,8.9,9.4,9.7,9.8,9.8,10
Virginia,5.3,6.1,6.4,6.8,7,7,6.7,6.7,6.8,6.8,6.8,6.9,7.2,7.5,7.8,8.2,8.3,8.4,8.6,8.8,8.8
Washington,4.8,5.7,6,6.2,6.2,6.2,7,7.1,6.3,6.1,6,6,6.3,6.4,6.5,6.5,6.5,6.5,6.5,7,6.9
West Virginia,5.6,6,6.1,6.3,6.4,6.6,6.7,6.6,7,7.2,6.7,6.7,7.1,7.3,7.3,7.4,7.5,7.5,8.1,7.9,8.7
Wisconsin,4.5,5,5.4,5.6,5.6,5.6,5.7,5.2,5.4,5.3,5.3,5.3,5.6,5.7,6,6.1,6.2,6.2,6.3,6.5,6.7
Wyoming,6.8,7,7.1,7.1,7.1,7.3,7.7,7.5,7.6,7.8,7.6,8,8.6,9,9.3,9.3,9.3,9.3,9.5,10,10
